time_s,V_exp,FDM,FVM-S0,FVM-S1,FVM-S2
3276,4.08917856216431,4.09355554863097,4.09355557142269,4.09355455585104,4.09355491531107
3277,4.08917999267578,4.09355557498339,4.09355559756502,4.09355458436927,4.09355494298832
3278,4.08916902542114,4.09355560127382,4.09355562364619,4.09355461282077,4.09355497060083
3279,4.08924865722656,4.09355562750241,4.09355564966635,4.09355464120571,4.09355499814874
3280,4.08917856216431,4.09355565366931,4.09355567562564,4.09355466952424,4.0935550256322
3281,4.08918619155884,4.09355567977467,4.0935557015242,4.09355469777652,4.09355505305136
3282,4.08917379379272,4.09355570581861,4.09355572736218,4.0935547259627,4.09355508040638
3283,4.0891695022583,4.0935557318013,4.09355575313971,4.09355475408294,4.0935551076974
3284,4.08929920196533,4.09355575772288,4.09355577885694,4.09355478213739,4.09355513492457
3285,4.08915996551514,4.09355578358348,4.09355580451401,4.0935548101262,4.09355516208805
3286,4.08915758132935,4.09355580938326,4.09355583011107,4.09355483804954,4.09355518918798
3287,4.08925914764404,4.09355583512236,4.09355585564823,4.09355486590755,4.09355521622451
3288,4.08916711807251,4.09355586080091,4.09355588112567,4.09355489370038,4.09355524319779
3289,4.08920431137085,4.09355588641906,4.0935559065435,4.09355492142819,4.09355527010797
3290,4.0891547203064,4.09355591197696,4.09355593190187,4.09355494909114,4.09355529695519
3291,4.08916091918945,4.09355593747475,4.09355595720092,4.09355497668936,4.09355532373961
3292,4.08923244476318,4.09355596291256,4.09355598244079,4.09355500422302,4.09355535046137
3293,4.0890679359436,4.09355598829054,4.09355600762162,4.09355503169227,4.09355537712061
3294,4.0890679359436,4.09355601360883,4.09355603274354,4.09355505909725,4.09355540371749
3295,4.08920526504517,4.09355603886757,4.0935560578067,4.09355508643812,4.09355543025215
3296,4.08924245834351,4.0935560640669,4.09355608281122,4.09355511371503,4.09355545672473
3297,4.08911752700806,4.09355608920696,4.09355610775726,4.09355514092812,4.09355548313538
3298,4.08930110931396,4.09355611428788,4.09355613264493,4.09355516807755,4.09355550948425
3299,4.08918619155884,4.09355613930982,4.0935561574744,4.09355519516347,4.09355553577148
3300,4.08909511566162,4.09355616427291,4.09355618224577,4.09355522218602,4.09355556199721
3301,4.08923244476318,4.09355618917728,4.09355620695921,4.09355524914535,4.09355558816159
3302,4.08928203582764,4.09355621402307,4.09355623161483,4.09355527604161,4.09355561426476
3303,4.08919763565063,4.09355623881043,4.09355625621277,4.09355530287495,4.09355564030687
3304,4.08918285369873,4.09355626353949,4.09355628075318,4.09355532964552,4.09355566628805
3305,4.0891695022583,4.09355628821038,4.09355630523618,4.09355535635346,4.09355569220846
3306,4.08912706375122,4.09355631282325,4.09355632966191,4.09355538299891,4.09355571806823
3307,4.08927488327026,4.09355633737823,4.0935563540305,4.09355540958204,4.09355574386751
3308,4.08926439285278,4.09355636187546,4.09355637834209,4.09355543610297,4.09355576960643
3309,4.08920860290527,4.09355638631506,4.09355640259681,4.09355546256186,4.09355579528514
3310,4.08913135528564,4.09355641069719,4.0935564267948,4.09355548895886,4.09355582090378
3311,4.08922815322876,4.09355643502197,4.09355645093618,4.0935555152941,4.09355584646249
3312,4.08920335769653,4.09355645928954,4.09355647502109,4.09355554156773,4.09355587196142
3313,4.08910703659058,4.09355648350003,4.09355649904966,4.0935555677799,4.09355589740069
3314,4.08920001983643,4.09355650765358,4.09355652302202,4.09355559393075,4.09355592278045
3315,4.08927488327026,4.09355653175032,4.09355654693831,4.09355562002043,4.09355594810084
3316,4.08922624588013,4.09355655579039,4.09355657079865,4.09355564604907,4.093555973362
3317,4.08915948867798,4.09355657977392,4.09355659460318,4.09355567201682,4.09355599856406
3318,4.08924198150635,4.09355660370104,4.09355661835203,4.09355569792382,4.09355602370718
3319,4.08918857574463,4.09355662757188,4.09355664204532,4.09355572377022,4.09355604879147
3320,4.08919668197632,4.09355665138658,4.0935566656832,4.09355574955616,4.09355607381708
3321,4.0892915725708,4.09355667514527,4.09355668926578,4.09355577528177,4.09355609878416
3322,4.08918857574463,4.09355669884809,4.0935567127932,4.0935558009472,4.09355612369283
3323,4.08922290802002,4.09355672249515,4.09355673626558,4.09355582655259,4.09355614854323
3324,4.08919906616211,4.0935567460866,4.09355675968306,4.09355585209809,4.0935561733355
3325,4.08913660049438,4.09355676962256,4.09355678304577,4.09355587758382,4.09355619806978
3326,4.08920526504517,4.09355679310317,4.09355680635383,4.09355590300994,4.09355622274619
3327,4.08918714523315,4.09355681652856,4.09355682960736,4.09355592837658,4.09355624736489
3328,4.08924961090088,4.09355683989885,4.0935568528065,4.09355595368387,4.09355627192599
3329,4.08909845352173,4.09355686321418,4.09355687595138,4.09355597893197,4.09355629642964
3330,4.08908605575562,4.09355688647467,4.09355689904212,4.093556004121,4.09355632087597
3331,4.08916616439819,4.09355690968046,4.09355692207885,4.09355602925111,4.09355634526512
3332,4.08923816680908,4.09355693283166,4.09355694506169,4.09355605432244,4.09355636959721
3333,4.08915233612061,4.09355695592842,4.09355696799078,4.09355607933511,4.09355639387239
3334,4.08915758132935,4.09355697897086,4.09355699086623,4.09355610428928,4.09355641809079
3335,4.08914804458618,4.09355700195911,4.09355701368818,4.09355612918507,4.09355644225253
3336,4.08910179138184,4.09355702489329,4.09355703645674,4.09355615402262,4.09355646635775
3337,4.08912467956543,4.09355704777354,4.09355705917204,4.09355617880207,4.09355649040659
3338,4.08913946151733,4.09355707059997,4.09355708183422,4.09355620352356,4.09355651439917
3339,4.08910894393921,4.09355709337272,4.09355710444338,4.09355622818722,4.09355653833563
3340,4.08919906616211,4.09355711609191,4.09355712699966,4.09355625279318,4.09355656221609
3341,4.08916902542114,4.09355713875767,4.09355714950319,4.09355627734158,4.0935565860407
3342,4.08907747268677,4.09355716137013,4.09355717195407,4.09355630183256,4.09355660980958
3343,4.08920001983643,4.0935571839294,4.09355719435244,4.09355632626625,4.09355663352286
3344,4.08923149108887,4.09355720643562,4.09355721669842,4.09355635064279,4.09355665718067
3345,4.08915948867798,4.09355722888891,4.09355723899213,4.0935563749623,4.09355668078314
3346,4.08914613723755,4.09355725128939,4.0935572612337,4.09355639922493,4.0935567043304
3347,4.08910369873047,4.09355727363719,4.09355728342325,4.0935564234308,4.09355672782258
3348,4.08920812606812,4.09355729593243,4.09355730556089,4.09355644758004,4.09355675125981
3349,4.08925676345825,4.09355731817524,4.09355732764675,4.0935564716728,4.09355677464222
3350,4.08914279937744,4.09355734036574,4.09355734968095,4.0935564957092,4.09355679796994
3351,4.08907747268677,4.09355736250405,4.09355737166362,4.09355651968938,4.09355682124308
3352,4.08923816680908,4.0935573845903,4.09355739359487,4.09355654361346,4.09355684446179
3353,4.08915567398071,4.0935574066246,4.09355741547482,4.09355656748158,4.09355686762619
3354,4.08913421630859,4.09355742860708,4.09355743730359,4.09355659129387,4.0935568907364
3355,4.08916187286377,4.09355745053787,4.09355745908131,4.09355661505046,4.09355691379256
3356,4.08917236328125,4.09355747241708,4.09355748080809,4.09355663875148,4.09355693679479
3357,4.08918523788452,4.09355749424484,4.09355750248405,4.09355666239706,4.09355695974321
3358,4.08927202224731,4.09355751602126,4.09355752410931,4.09355668598732,4.09355698263795
3359,4.08920812606812,4.09355753774647,4.09355754568399,4.09355670952241,4.09355700547915
3360,4.08914184570312,4.09355755942059,4.09355756720821,4.09355673300244,4.09355702826691
3361,4.08921051025391,4.09355758104373,4.09355758868209,4.09355675642756,4.09355705100138
3362,4.08914470672607,4.09355760261603,4.09355761010573,4.09355677979787,4.09355707368266
3363,4.08926630020142,4.09355762413759,4.09355763147927,4.09355680311353,4.09355709631089
3364,4.08916425704956,4.09355764560854,4.09355765280282,4.09355682637464,4.0935571188862
3365,4.08911561965942,4.09355766702899,4.0935576740765,4.09355684958135,4.0935571414087
3366,4.08914947509766,4.09355768839907,4.09355769530041,4.09355687273377,4.09355716387852
3367,4.08928775787354,4.0935577097189,4.09355771647468,4.09355689583203,4.09355718629578
3368,4.08919239044189,4.09355773098858,4.09355773759944,4.09355691887627,4.0935572086606
3369,4.08915424346924,4.09355775220825,4.09355775867478,4.0935569418666,4.09355723097312
3370,4.08922290802002,4.09355777337801,4.09355777970082,4.09355696480316,4.09355725323344
3371,4.08920001983643,4.09355779449799,4.09355780067769,4.09355698768607,4.0935572754417
3372,4.0892767906189,4.0935578155683,4.0935578216055,4.09355701051545,4.09355729759801
3373,4.08924865722656,4.09355783658906,4.09355784248436,4.09355703329143,4.0935573197025
3374,4.08928966522217,4.09355785756039,4.09355786331438,4.09355705601414,4.09355734175528
3375,4.08917236328125,4.09355787848239,4.09355788409569,4.0935570786837,4.09355736375649
3376,4.08925914764404,4.0935578993552,4.09355790482839,4.09355710130023,4.09355738570623
3377,4.08923578262329,4.09355792017892,4.0935579255126,4.09355712386387,4.09355740760464
3378,4.08925151824951,4.09355794095367,4.09355794614843,4.09355714637472,4.09355742945182
3379,4.08920621871948,4.09355796167956,4.09355796673599,4.09355716883292,4.0935574512479
3380,4.08921051025391,4.09355798235672,4.09355798727541,4.0935571912386,4.093557472993
3381,4.08933305740356,4.09355800298525,4.09355800776678,4.09355721359186,4.09355749468725
3382,4.08903408050537,4.09355802356526,4.09355802821023,4.09355723589284,4.09355751633074
3383,4.08931159973145,4.09355804409689,4.09355804860587,4.09355725814165,4.09355753792362
3384,4.08920955657959,4.09355806458022,4.0935580689538,4.09355728033843,4.09355755946599
3385,4.08917474746704,4.09355808501539,4.09355808925414,4.09355730248329,4.09355758095797
3386,4.08932018280029,4.0935581054025,4.093558109507,4.09355732457635,4.09355760239969
3387,4.0891547203064,4.09355812574167,4.0935581297125,4.09355734661773,4.09355762379125
3388,4.08920335769653,4.09355814603301,4.09355814987073,4.09355736860756,4.09355764513278
3389,4.08924961090088,4.09355816627663,4.09355816998182,4.09355739054595,4.0935576664244
3390,4.08921909332275,4.09355818647265,4.09355819004588,4.09355741243303,4.09355768766621
3391,4.08921146392822,4.09355820662117,4.093558210063,4.09355743426892,4.09355770885834
3392,4.08922863006592,4.09355822672231,4.09355823003331,4.09355745605374,4.09355773000091
3393,4.08908987045288,4.09355824677619,4.09355824995692,4.0935574777876,4.09355775109402
3394,4.08919334411621,4.0935582667829,4.09355826983392,4.09355749947062,4.0935577721378
3395,4.08917903900146,4.09355828674256,4.09355828966444,4.09355752110293,4.09355779313236
3396,4.08926200866699,4.09355830665529,4.09355830944858,4.09355754268464,4.09355781407781
3397,4.08916807174683,4.09355832652119,4.09355832918644,4.09355756421588,4.09355783497428
3398,4.08920288085938,4.09355834634038,4.09355834887815,4.09355758569675,4.09355785582187
3399,4.08910799026489,4.09355836611296,4.0935583685238,4.09355760712738,4.0935578766207
3400,4.08923149108887,4.09355838583904,4.0935583881235,4.09355762850789,4.09355789737089
3401,4.089195728302,4.09355840551873,4.09355840767736,4.09355764983838,4.09355791807254
3402,4.08932590484619,4.09355842515215,4.09355842718549,4.09355767111899,4.09355793872577
3403,4.08926725387573,4.0935584447394,4.09355844664799,4.09355769234982,4.0935579593307
3404,4.08917999267578,4.09355846428059,4.09355846606498,4.093557713531,4.09355797988743
3405,4.08918619155884,4.09355848377582,4.09355848543655,4.09355773466263,4.09355800039609
3406,4.08927488327026,4.09355850322521,4.09355850476282,4.09355775574484,4.09355802085678
3407,4.08923578262329,4.09355852262887,4.09355852404389,4.09355777677774,4.09355804126961
3408,4.08913850784302,4.09355854198689,4.09355854327987,4.09355779776145,4.0935580616347
3409,4.08908557891846,4.0935585612994,4.09355856247086,4.09355781869607,4.09355808195216
3410,4.08926343917847,4.09355858056649,4.09355858161696,4.09355783958173,4.0935581022221
3411,4.08906364440918,4.09355859978827,4.09355860071829,4.09355786041855,4.09355812244464
3412,4.0892071723938,4.09355861896486,4.09355861977494,4.09355788120662,4.09355814261987
3413,4.08924722671509,4.09355863809635,4.09355863878703,4.09355790194608,4.09355816274792
3414,4.08924245834351,4.09355865718285,4.09355865775465,4.09355792263703,4.09355818282889
3415,4.08926343917847,4.09355867622447,4.09355867667791,4.09355794327959,4.0935582028629
3416,4.08930683135986,4.09355869522131,4.09355869555691,4.09355796387386,4.09355822285005
3417,4.08921384811401,4.09355871417348,4.09355871439176,4.09355798441997,4.09355824279045
3418,4.08921051025391,4.09355873308108,4.09355873318257,4.09355800491803,4.09355826268422
3419,4.08922529220581,4.09355875194423,4.09355875192942,4.09355802536813,4.09355828253146
3420,4.08920812606812,4.09355877076302,4.09355877063243,4.09355804577042,4.09355830233228
3421,4.08924627304077,4.09355878953755,4.09355878929171,4.09355806612498,4.09355832208679
3422,4.08923578262329,4.09355880826794,4.09355880790734,4.09355808643194,4.0935583417951
3423,4.08919382095337,4.09355882695428,4.09355882647943,4.0935581066914,4.09355836145732
3424,4.08935403823853,4.09355884559668,4.09355884500809,4.09355812690348,4.09355838107355
3425,4.08923149108887,4.09355886419524,4.09355886349342,4.09355814706829,4.0935584006439
3426,4.08927059173584,4.09355888275007,4.09355888193553,4.09355816718593,4.09355842016848
3427,4.08924436569214,4.09355890126127,4.09355890033449,4.09355818725652,4.09355843964739
3428,4.08927059173584,4.09355891972895,4.09355891869043,4.09355820728017,4.09355845908075
3429,4.08920431137085,4.09355893815319,4.09355893700344,4.09355822725699,4.09355847846866
3430,4.08921384811401,4.09355895653411,4.09355895527362,4.09355824718709,4.09355849781123
3431,4.08923816680908,4.09355897487181,4.09355897350107,4.09355826707057,4.09355851710855
3432,4.08921575546265,4.09355899316639,4.0935589916859,4.09355828690755,4.09355853636075
3433,4.08925724029541,4.09355901141795,4.09355900982819,4.09355830669813,4.09355855556792
3434,4.08922100067139,4.09355902962659,4.09355902792806,4.09355832644243,4.09355857473017
3435,4.08929204940796,4.09355904779242,4.0935590459856,4.09355834614055,4.0935585938476
3436,4.08917760848999,4.09355906591553,4.09355906400091,4.0935583657926,4.09355861292033
3437,4.08928680419922,4.09355908399603,4.09355908197409,4.09355838539869,4.09355863194844
3438,4.08921146392822,4.09355910203401,4.09355909990523,4.09355840495893,4.09355865093206
3439,4.08916807174683,4.09355912002957,4.09355911779444,4.09355842447341,4.09355866987128
3440,4.08911848068237,4.09355913798282,4.09355913564182,4.09355844394226,4.0935586887662
3441,4.08922815322876,4.09355915589386,4.09355915344745,4.09355846336557,4.09355870761693
3442,4.08924436569214,4.09355917376277,4.09355917121145,4.09355848274346,4.09355872642358
3443,4.08933067321777,4.09355919158967,4.0935591889339,4.09355850207603,4.09355874518624
3444,4.08917665481567,4.09355920937466,4.0935592066149,4.09355852136338,4.09355876390503
3445,4.08921384811401,4.09355922711782,4.09355922425456,4.09355854060562,4.09355878258003
3446,4.08924961090088,4.09355924481926,4.09355924185296,4.09355855980287,4.09355880121136
3447,4.08924007415771,4.09355926247908,4.09355925941021,4.09355857895521,4.09355881979912
